for_Plot_SP_Col,For_type.x,PLOT.x,Species.x.x,Coll_No.x.x,Termi.assum.x,n.x,for_Plot.x,for_Plot_SP.x,n_absence,Termi.assum.y,n.y,n_presence
CC_404_Castanopsis_mekongensis_Coll_2,CC,404,Castanopsis_mekongensis,Coll_2,0,5,CC_404,CC_404_Castanopsis_mekongensis,5,1,0,0
CC_404_Castanopsis_mekongensis_Coll_3,CC,404,Castanopsis_mekongensis,Coll_3,0,5,CC_404,CC_404_Castanopsis_mekongensis,5,1,0,0
CC_404_Castanopsis_mekongensis_Coll_4,CC,404,Castanopsis_mekongensis,Coll_4,0,5,CC_404,CC_404_Castanopsis_mekongensis,5,1,0,0
CC_404_Castanopsis_mekongensis_Coll_5,CC,404,Castanopsis_mekongensis,Coll_5,0,5,CC_404,CC_404_Castanopsis_mekongensis,5,1,0,0
CC_404_Castanopsis_mekongensis_Coll_6,CC,404,Castanopsis_mekongensis,Coll_6,0,3,CC_404,CC_404_Castanopsis_mekongensis,3,1,2,2
CC_404_Litsea_cubeba_Coll_1,CC,404,Litsea_cubeba,Coll_1,0,5,CC_404,CC_404_Litsea_cubeba,5,1,0,0
CC_404_Litsea_cubeba_Coll_2,CC,404,Litsea_cubeba,Coll_2,0,5,CC_404,CC_404_Litsea_cubeba,5,1,0,0
CC_404_Litsea_cubeba_Coll_3,CC,404,Litsea_cubeba,Coll_3,0,5,CC_404,CC_404_Litsea_cubeba,5,1,0,0
CC_404_Litsea_cubeba_Coll_4,CC,404,Litsea_cubeba,Coll_4,0,4,CC_404,CC_404_Litsea_cubeba,4,1,1,1
CC_404_Litsea_cubeba_Coll_5,CC,404,Litsea_cubeba,Coll_5,0,4,CC_404,CC_404_Litsea_cubeba,4,1,1,1
CC_404_Litsea_cubeba_Coll_6,CC,404,Litsea_cubeba,Coll_6,0,4,CC_404,CC_404_Litsea_cubeba,4,1,1,1
CC_75_Castanopsis_mekongensis_Coll_1,CC,75,Castanopsis_mekongensis,Coll_1,0,5,CC_75,CC_75_Castanopsis_mekongensis,5,1,0,0
CC_75_Castanopsis_mekongensis_Coll_2,CC,75,Castanopsis_mekongensis,Coll_2,0,5,CC_75,CC_75_Castanopsis_mekongensis,5,1,0,0
CC_75_Castanopsis_mekongensis_Coll_3,CC,75,Castanopsis_mekongensis,Coll_3,0,1,CC_75,CC_75_Castanopsis_mekongensis,1,1,4,4
CC_75_Castanopsis_mekongensis_Coll_4,CC,75,Castanopsis_mekongensis,Coll_4,0,0,CC_75,CC_75_Castanopsis_mekongensis,0,1,5,5
CC_75_Castanopsis_mekongensis_Coll_5,CC,75,Castanopsis_mekongensis,Coll_5,0,0,CC_75,CC_75_Castanopsis_mekongensis,0,1,5,5
CC_75_Castanopsis_mekongensis_Coll_6,CC,75,Castanopsis_mekongensis,Coll_6,0,0,CC_75,CC_75_Castanopsis_mekongensis,0,1,5,5
CC_75_Litsea_cubeba_Coll_1,CC,75,Litsea_cubeba,Coll_1,0,3,CC_75,CC_75_Litsea_cubeba,3,1,2,2
CC_75_Litsea_cubeba_Coll_2,CC,75,Litsea_cubeba,Coll_2,0,3,CC_75,CC_75_Litsea_cubeba,3,1,2,2
CC_75_Litsea_cubeba_Coll_3,CC,75,Litsea_cubeba,Coll_3,0,1,CC_75,CC_75_Litsea_cubeba,1,1,3,3
CC_75_Litsea_cubeba_Coll_4,CC,75,Litsea_cubeba,Coll_4,0,0,CC_75,CC_75_Litsea_cubeba,0,1,5,5
CC_75_Litsea_cubeba_Coll_5,CC,75,Litsea_cubeba,Coll_5,0,0,CC_75,CC_75_Litsea_cubeba,0,1,5,5
OC_145_Castanopsis_mekongensis_Coll_1,OC,145,Castanopsis_mekongensis,Coll_1,0,5,OC_145,OC_145_Castanopsis_mekongensis,5,1,0,0
OC_145_Castanopsis_mekongensis_Coll_2,OC,145,Castanopsis_mekongensis,Coll_2,0,5,OC_145,OC_145_Castanopsis_mekongensis,5,1,0,0
OC_145_Castanopsis_mekongensis_Coll_3,OC,145,Castanopsis_mekongensis,Coll_3,0,2,OC_145,OC_145_Castanopsis_mekongensis,2,1,2,2
OC_145_Castanopsis_mekongensis_Coll_4,OC,145,Castanopsis_mekongensis,Coll_4,0,3,OC_145,OC_145_Castanopsis_mekongensis,3,1,2,2
OC_145_Castanopsis_mekongensis_Coll_5,OC,145,Castanopsis_mekongensis,Coll_5,0,2,OC_145,OC_145_Castanopsis_mekongensis,2,1,3,3
OC_145_Castanopsis_mekongensis_Coll_6,OC,145,Castanopsis_mekongensis,Coll_6,0,1,OC_145,OC_145_Castanopsis_mekongensis,1,1,4,4
OC_145_Litsea_cubeba_Coll_1,OC,145,Litsea_cubeba,Coll_1,0,5,OC_145,OC_145_Litsea_cubeba,5,1,0,0
OC_145_Litsea_cubeba_Coll_2,OC,145,Litsea_cubeba,Coll_2,0,5,OC_145,OC_145_Litsea_cubeba,5,1,0,0
OC_145_Litsea_cubeba_Coll_3,OC,145,Litsea_cubeba,Coll_3,0,4,OC_145,OC_145_Litsea_cubeba,4,1,1,1
OC_145_Litsea_cubeba_Coll_4,OC,145,Litsea_cubeba,Coll_4,0,4,OC_145,OC_145_Litsea_cubeba,4,1,1,1
OC_145_Litsea_cubeba_Coll_5,OC,145,Litsea_cubeba,Coll_5,0,2,OC_145,OC_145_Litsea_cubeba,2,1,3,3
OC_145_Litsea_cubeba_Coll_6,OC,145,Litsea_cubeba,Coll_6,0,0,OC_145,OC_145_Litsea_cubeba,0,1,5,5
OC_234_Castanopsis_mekongensis_Coll_1,OC,234,Castanopsis_mekongensis,Coll_1,0,3,OC_234,OC_234_Castanopsis_mekongensis,3,1,2,2
OC_234_Castanopsis_mekongensis_Coll_2,OC,234,Castanopsis_mekongensis,Coll_2,0,4,OC_234,OC_234_Castanopsis_mekongensis,4,1,1,1
OC_234_Castanopsis_mekongensis_Coll_3,OC,234,Castanopsis_mekongensis,Coll_3,0,5,OC_234,OC_234_Castanopsis_mekongensis,5,1,0,0
OC_234_Castanopsis_mekongensis_Coll_4,OC,234,Castanopsis_mekongensis,Coll_4,0,4,OC_234,OC_234_Castanopsis_mekongensis,4,1,1,1
OC_234_Castanopsis_mekongensis_Coll_5,OC,234,Castanopsis_mekongensis,Coll_5,0,5,OC_234,OC_234_Castanopsis_mekongensis,5,1,0,0
OC_234_Castanopsis_mekongensis_Coll_6,OC,234,Castanopsis_mekongensis,Coll_6,0,5,OC_234,OC_234_Castanopsis_mekongensis,5,1,0,0
OC_234_Litsea_cubeba_Coll_1,OC,234,Litsea_cubeba,Coll_1,0,5,OC_234,OC_234_Litsea_cubeba,5,1,0,0
OC_234_Litsea_cubeba_Coll_2,OC,234,Litsea_cubeba,Coll_2,0,5,OC_234,OC_234_Litsea_cubeba,5,1,0,0
OC_234_Litsea_cubeba_Coll_3,OC,234,Litsea_cubeba,Coll_3,0,5,OC_234,OC_234_Litsea_cubeba,5,1,0,0
OC_234_Litsea_cubeba_Coll_4,OC,234,Litsea_cubeba,Coll_4,0,5,OC_234,OC_234_Litsea_cubeba,5,1,0,0
OC_234_Litsea_cubeba_Coll_5,OC,234,Litsea_cubeba,Coll_5,0,5,OC_234,OC_234_Litsea_cubeba,5,1,0,0
OC_234_Litsea_cubeba_Coll_6,OC,234,Litsea_cubeba,Coll_6,0,5,OC_234,OC_234_Litsea_cubeba,5,1,0,0
OC_259_Castanopsis_mekongensis_Coll_1,OC,259,Castanopsis_mekongensis,Coll_1,0,5,OC_259,OC_259_Castanopsis_mekongensis,5,1,0,0
OC_259_Castanopsis_mekongensis_Coll_2,OC,259,Castanopsis_mekongensis,Coll_2,0,5,OC_259,OC_259_Castanopsis_mekongensis,5,1,0,0
OC_259_Castanopsis_mekongensis_Coll_3,OC,259,Castanopsis_mekongensis,Coll_3,0,2,OC_259,OC_259_Castanopsis_mekongensis,2,1,3,3
OC_259_Castanopsis_mekongensis_Coll_4,OC,259,Castanopsis_mekongensis,Coll_4,0,2,OC_259,OC_259_Castanopsis_mekongensis,2,1,3,3
OC_259_Castanopsis_mekongensis_Coll_5,OC,259,Castanopsis_mekongensis,Coll_5,0,0,OC_259,OC_259_Castanopsis_mekongensis,0,1,5,5
OC_259_Castanopsis_mekongensis_Coll_6,OC,259,Castanopsis_mekongensis,Coll_6,0,2,OC_259,OC_259_Castanopsis_mekongensis,2,1,3,3
OC_259_Litsea_cubeba_Coll_1,OC,259,Litsea_cubeba,Coll_1,0,5,OC_259,OC_259_Litsea_cubeba,5,1,0,0
OC_259_Litsea_cubeba_Coll_2,OC,259,Litsea_cubeba,Coll_2,0,5,OC_259,OC_259_Litsea_cubeba,5,1,0,0
OC_259_Litsea_cubeba_Coll_3,OC,259,Litsea_cubeba,Coll_3,0,5,OC_259,OC_259_Litsea_cubeba,5,1,0,0
OC_259_Litsea_cubeba_Coll_4,OC,259,Litsea_cubeba,Coll_4,0,5,OC_259,OC_259_Litsea_cubeba,5,1,0,0
OC_259_Litsea_cubeba_Coll_5,OC,259,Litsea_cubeba,Coll_5,0,2,OC_259,OC_259_Litsea_cubeba,2,1,3,3
OC_259_Litsea_cubeba_Coll_6,OC,259,Litsea_cubeba,Coll_6,0,2,OC_259,OC_259_Litsea_cubeba,2,1,3,3
OC_271_Castanopsis_mekongensis_Coll_1,OC,271,Castanopsis_mekongensis,Coll_1,0,5,OC_271,OC_271_Castanopsis_mekongensis,5,1,0,0
